Time,Acc
10.369,-0.0373
10.379,0.015399999999999997
10.389,0.1279
10.406,-0.0349
10.41,0.1064
10.424,0.0896
10.43,-0.07800000000000001
10.439,0.0992
10.449,0.0633
10.46,-0.1618
10.47,-0.013300000000000006
10.48,0.037
10.49,-0.020500000000000004
10.51,-0.027700000000000002
10.511,0.024999999999999994
10.524,-0.003700000000000009
10.531,0.024999999999999994
10.54,0.015399999999999997
10.55,-0.020500000000000004
10.56,-0.0013000000000000025
10.57,0.003499999999999996
10.583,-0.022900000000000004
10.591,-0.0827
10.601,-0.022900000000000004
10.611,0.0705
10.623,-0.1402
10.643,-0.0731
10.644,0.1495
10.651,0.0058999999999999955
10.66,-0.03
10.671,0.0634
10.683,0.09209999999999999
10.691,0.0322
10.701,-0.04680000000000001
10.711,0.008299999999999995
10.723,0.0801
10.744,-0.07550000000000001
10.745,-0.0348
10.754,0.1017
10.761,-0.015600000000000003
10.771,-0.003700000000000009
10.784,0.022699999999999998
10.791,-0.0204
10.801,-0.0372
10.811,0.0131
10.824,0.073
10.841,-0.008400000000000005
10.842,0.046599999999999996
10.851,0.0897
10.862,-0.08510000000000001
10.871,-0.07550000000000001
10.882,0.003499999999999996
10.891,-0.006100000000000008
10.902,-0.008500000000000008
10.911,-0.1401
10.922,0.008299999999999995
10.944,0.029799999999999997
10.945,-0.0923
10.955,0.0155
10.962,0.1065
10.972,0.1041
10.984,-0.0348
10.992,0.049
11.002,0.16870000000000002
11.013,-0.0324
11.025,0.0681
11.045,0.11599999999999999
11.047,-0.0635
11.054,0.12079999999999999
11.062,0.0010999999999999968
11.073,-0.121
11.084,0.07529999999999999
11.093,-0.0827
11.103,-0.08030000000000001
11.113,0.024999999999999994
11.122,-0.11630000000000001
11.133,0.0489
11.143,-0.0013000000000000025
11.153,-0.08990000000000001
11.163,0.0514
11.173,-0.015700000000000006
11.184,-0.0276
11.193,0.046599999999999996
11.203,-0.0875
11.214,0.12079999999999999
11.226,0.0514
11.248,-0.0875
11.249,0.1113
11.253,0.0155
11.264,-0.0875
11.274,0.0634
11.283,0.037
11.293,0.0562
11.307,0.08249999999999999
11.314,-0.09459999999999999
11.325,-0.003700000000000009
11.334,-0.013200000000000003
11.344,-0.176
11.354,0.1137
11.367,0.0754
11.374,-0.10900000000000001
11.384,0.0754
11.394,0.005999999999999998
11.404,-0.051500000000000004
11.424,0.0155
11.425,0.037099999999999994
11.443,-0.018000000000000002
11.444,-0.14730000000000001
11.454,0.0562
11.468,0.0011999999999999997
